ISO,Fungicides and Bactericides Human Toxicity freshwater,Insecticides Human Toxicity freshwater,Herbicides Human Toxicity freshwater,Rodenticides Human Toxicity freshwater,,,,,,,,,,,,,,,,,,,,,,
TZA,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
UGA,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
UKR,2.73828E-07,7.01687E-05,0.000162051,,,,,,,,,,,,,,,,,,,,,,,
URY,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
USA,5.43544E-08,1.38706E-05,5.30225E-05,,,,,,,,,,,,,,,,,,,,,,,
UZB,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
VEN,1.82647E-07,4.40865E-05,0.00011094,,,,,,,,,,,,,,,,,,,,,,,
VNM,3.73804E-07,9.62054E-05,0.000219623,,,,,,,,,,,,,,,,,,,,,,,
VUT,2.90166E-08,6.8402E-06,3.79885E-05,,,,,,,,,,,,,,,,,,,,,,,
WSM,1.32971E-07,3.30775E-05,8.82616E-05,,,,,,,,,,,,,,,,,,,,,,,
YEM,2.00338E-08,5.55747E-06,3.74864E-05,,,,,,,,,,,,,,,,,,,,,,,
ZAF,6.54973E-08,1.74401E-05,5.96942E-05,,,,,,,,,,,,,,,,,,,,,,,
ZMB,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
ZWE,5.89069E-08,1.6187E-05,5.95907E-05,,,,,,,,,,,,,,,,,,,,,,,
